Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,season
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
37,허경민,23 3B,2.14,130,1.64,0.50,475,472,429,44,115,23,1,7,161,48,9,3,35,6,3,26,6,0,5,0.268,0.328,0.375,0.703,0.111,98.5,2.14,2023
38,채은성,23 1B,1.85,137,2.01,-0.16,596,593,521,71,137,17,0,23,223,84,0,0,52,20,8,102,16,0,3,0.263,0.351,0.428,0.779,0.138,117.0,1.85,2023
39,추신수,23 DH,1.78,112,1.99,-0.21,462,462,382,65,97,17,1,12,152,41,6,4,65,13,1,79,8,0,2,0.254,0.379,0.398,0.777,0.149,124.2,1.78,2023
40,김현수,23 DH,1.69,133,1.76,-0.07,556,555,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,0.293,0.364,0.383,0.747,0.130,114.4,1.69,2023
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,2023
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,2023
41,강승호,23 2B,1.54,127,1.47,0.07,459,455,419,51,111,18,6,7,162,59,13,6,27,6,0,110,12,4,3,0.265,0.316,0.387,0.703,0.110,98.3,1.54,2023
42,문현빈,23 CF,1.42,137,1.54,-0.11,481,470,428,47,114,22,2,5,155,49,5,1,33,6,2,84,7,9,5,0.266,0.324,0.362,0.686,0.106,89.6,1.42,2023
43,최지훈,23 CF,1.30,117,1.65,-0.36,503,495,462,65,124,19,8,2,165,30,21,2,29,3,0,50,3,8,1,0.268,0.315,0.357,0.672,0.101,83.4,1.30,2023
44,최주환,23 2B,1.00,134,1.56,-0.56,478,474,426,48,100,24,0,20,184,63,0,0,44,4,4,94,6,1,3,0.235,0.310,0.432,0.742,0.120,99.3,1.00,2023
45,정은원,23 2B,0.76,122,0.86,-0.09,459,453,388,50,86,12,0,2,104,30,6,3,62,3,1,73,4,5,1,0.222,0.333,0.268,0.601,0.089,76.1,0.76,2023
46,피렐라,23 LF,0.66,139,1.62,-0.96,605,605,557,66,159,28,1,16,237,80,6,4,42,4,5,69,20,0,2,0.285,0.339,0.425,0.764,0.130,107.9,0.66,2023
47,김현준,23 CF,0.65,109,0.87,-0.23,479,471,433,62,119,10,6,3,150,46,5,5,30,5,0,84,5,8,3,0.275,0.327,0.346,0.673,0.102,85.2,0.65,2023
48,김재환,23 DH,0.45,132,0.81,-0.36,484,481,405,40,89,15,0,10,134,46,3,1,72,5,4,100,8,0,2,0.220,0.343,0.331,0.674,0.111,98.8,0.45,2023
49,류지혁,23 3B,0.40,132,1.03,-0.62,522,511,455,63,122,11,1,2,141,45,26,2,46,6,1,73,12,10,5,0.268,0.340,0.310,0.650,0.099,84.8,0.40,2023
50,김민석,23 CF,0.10,129,0.73,-0.63,454,441,400,53,102,24,0,3,135,39,16,3,31,6,1,112,6,12,5,0.255,0.314,0.338,0.652,0.095,78.1,0.10,2023
1,김도영,24 3B,8.59,141,8.78,-0.18,625,619,544,143,189,29,10,38,352,109,40,4,66,7,7,110,10,1,7,0.347,0.420,0.647,1.067,0.232,172.5,8.59,2024
2,로하스,24 RF,6.71,144,6.55,0.16,670,664,572,108,188,39,1,32,325,112,2,1,88,6,9,115,10,0,4,0.329,0.421,0.568,0.989,0.211,153.3,6.71,2024
3,송성문,24 3B,6.33,142,6.03,0.29,602,601,527,88,179,29,4,19,273,104,21,0,64,3,2,82,5,0,8,0.340,0.409,0.518,0.927,0.191,148.9,6.33,2024
4,구자욱,24 LF,5.88,129,5.79,0.08,568,563,493,92,169,39,1,33,309,115,13,4,55,12,4,73,6,2,6,0.343,0.417,0.627,1.044,0.228,162.3,5.88,2024
5,김혜성,24 2B,5.33,127,4.63,0.69,567,565,509,90,166,26,4,11,233,75,30,6,47,4,2,62,6,0,7,0.326,0.383,0.458,0.841,0.160,124.1,5.33,2024
